"filename", "language", "YAML", "Markdown", "JSON", "PostCSS", "TypeScript JSX", "XML", "TypeScript", "JavaScript", "JSON with Comments", "HTML", "Python", "pip requirements", "comment", "blank", "total"
"/Users/friedemannfrommelt/steuerpilot/CLAUDE.md", "Markdown", 0, 326, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 94, 423
"/Users/friedemannfrommelt/steuerpilot/README.md", "Markdown", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 87
"/Users/friedemannfrommelt/steuerpilot/client/README.md", "Markdown", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 17
"/Users/friedemannfrommelt/steuerpilot/client/eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 2, 30
"/Users/friedemannfrommelt/steuerpilot/client/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"/Users/friedemannfrommelt/steuerpilot/client/package-lock.json", "JSON", 0, 0, 4335, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4336
"/Users/friedemannfrommelt/steuerpilot/client/package.json", "JSON", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"/Users/friedemannfrommelt/steuerpilot/client/public/sitemap.xml", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/friedemannfrommelt/steuerpilot/client/public/vite.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/friedemannfrommelt/steuerpilot/client/src/App.module.css", "PostCSS", 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 137
"/Users/friedemannfrommelt/steuerpilot/client/src/App.tsx", "TypeScript JSX", 0, 0, 0, 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 17, 156
"/Users/friedemannfrommelt/steuerpilot/client/src/assets/react.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/friedemannfrommelt/steuerpilot/client/src/components/AnswerDisplay.module.css", "PostCSS", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 75
"/Users/friedemannfrommelt/steuerpilot/client/src/components/AnswerDisplay.tsx", "TypeScript JSX", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"/Users/friedemannfrommelt/steuerpilot/client/src/components/ErrorMessage.module.css", "PostCSS", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/friedemannfrommelt/steuerpilot/client/src/components/ErrorMessage.tsx", "TypeScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/friedemannfrommelt/steuerpilot/client/src/components/FaqSection.module.css", "PostCSS", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 69
"/Users/friedemannfrommelt/steuerpilot/client/src/components/FaqSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 5, 71
"/Users/friedemannfrommelt/steuerpilot/client/src/components/Footer.module.css", "PostCSS", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 44
"/Users/friedemannfrommelt/steuerpilot/client/src/components/Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"/Users/friedemannfrommelt/steuerpilot/client/src/components/Header.module.css", "PostCSS", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 43
"/Users/friedemannfrommelt/steuerpilot/client/src/components/Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"/Users/friedemannfrommelt/steuerpilot/client/src/components/LoadingSpinner.module.css", "PostCSS", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"/Users/friedemannfrommelt/steuerpilot/client/src/components/LoadingSpinner.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/friedemannfrommelt/steuerpilot/client/src/components/SearchForm.module.css", "PostCSS", 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 106
"/Users/friedemannfrommelt/steuerpilot/client/src/components/SearchForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 7, 83
"/Users/friedemannfrommelt/steuerpilot/client/src/components/SourceCard.module.css", "PostCSS", 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 98
"/Users/friedemannfrommelt/steuerpilot/client/src/components/SourceCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 4, 56
"/Users/friedemannfrommelt/steuerpilot/client/src/components/SourceList.module.css", "PostCSS", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"/Users/friedemannfrommelt/steuerpilot/client/src/components/SourceList.tsx", "TypeScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"/Users/friedemannfrommelt/steuerpilot/client/src/graphql/queries.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 7, 62
"/Users/friedemannfrommelt/steuerpilot/client/src/index.css", "PostCSS", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"/Users/friedemannfrommelt/steuerpilot/client/src/main.tsx", "TypeScript JSX", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 6, 44
"/Users/friedemannfrommelt/steuerpilot/client/src/pages/Datenschutz.tsx", "TypeScript JSX", 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 11, 120
"/Users/friedemannfrommelt/steuerpilot/client/src/pages/Impressum.tsx", "TypeScript JSX", 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 11, 72
"/Users/friedemannfrommelt/steuerpilot/client/src/pages/LegalPage.module.css", "PostCSS", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 81
"/Users/friedemannfrommelt/steuerpilot/client/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"/Users/friedemannfrommelt/steuerpilot/client/vercel.json", "JSON", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/friedemannfrommelt/steuerpilot/client/vite.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 2, 8
"/Users/friedemannfrommelt/steuerpilot/docs/ARCHITECTURE.md", "Markdown", 0, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 244
"/Users/friedemannfrommelt/steuerpilot/docs/LEGAL.md", "Markdown", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 100
"/Users/friedemannfrommelt/steuerpilot/docs/ROADMAP.md", "Markdown", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 116
"/Users/friedemannfrommelt/steuerpilot/package-lock.json", "JSON", 0, 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 166
"/Users/friedemannfrommelt/steuerpilot/package.json", "JSON", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/friedemannfrommelt/steuerpilot/render.yaml", "YAML", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"/Users/friedemannfrommelt/steuerpilot/scripts/__tests__/ingest.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 231, 0, 0, 0, 0, 0, 10, 54, 295
"/Users/friedemannfrommelt/steuerpilot/scripts/dsgvo-check.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 164, 0, 0, 0, 0, 14, 21, 199
"/Users/friedemannfrommelt/steuerpilot/scripts/ingest.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 374, 0, 0, 0, 0, 0, 80, 71, 525
